Date,Close
2024-03-13,174.5700
2024-03-12,172.3200
2024-03-11,171.8100
2024-03-08,171.5700
2024-03-07,173.1900
2024-03-06,175.8900
2024-03-05,174.4100
2024-03-04,174.0500
2024-03-01,171.2900
2024-02-29,170.7100
2024-02-28,170.4500
2024-02-27,169.5300
2024-02-26,169.5400
2024-02-23,169.5100
2024-02-22,168.4700
2024-02-21,166.4400
2024-02-20,165.3100
2024-02-16,162.4600
2024-02-15,162.3800
2024-02-14,161.1500
2024-02-13,162.2900
2024-02-12,165.3500
2024-02-09,167.6600
2024-02-08,168.1800
2024-02-07,166.0400
2024-02-06,165.9200
2024-02-05,164.5100
2024-02-02,166.5200
2024-02-01,167.2300
2024-01-31,162.5800
2024-01-30,163.7900
2024-01-29,163.6200
2024-01-26,160.9900
2024-01-25,162.1200
2024-01-24,161.6600
2024-01-23,161.6600
2024-01-22,161.5900
2024-01-19,159.2400
2024-01-18,159.9200
2024-01-17,157.7100
2024-01-16,157.1700
2024-01-12,157.1300
2024-01-11,159.9900
2024-01-10,161.0400
2024-01-09,161.6000
2024-01-08,163.9500
2024-01-05,162.0800
2024-01-04,161.0000
2024-01-03,160.4000
2024-01-02,162.2800
2023-12-29,164.3000
2023-12-28,164.2700
2023-12-27,163.5500
2023-12-26,163.9900
2023-12-22,161.8400
2023-12-21,162.2100
2023-12-20,162.1400
2023-12-19,165.4600
2023-12-18,167.1700
2023-12-15,162.4900
2023-12-14,163.0900
2023-12-13,162.4600
2023-12-12,161.0800
2023-12-11,161.2000
2023-12-08,158.9500
2023-12-07,161.0900
2023-12-06,161.2600
2023-12-05,160.0400
2023-12-04,161.0000
2023-12-01,159.9100
2023-11-30,156.4700
2023-11-29,155.7300
2023-11-28,155.4300
2023-11-27,156.7400
2023-11-24,156.0100
2023-11-22,156.4700
2023-11-21,154.8400
2023-11-20,154.0300
2023-11-17,155.8600
2023-11-16,155.6800
2023-11-15,155.8200
2023-11-14,154.7900
2023-11-13,151.2500
2023-11-10,150.1000
2023-11-09,148.1600
2023-11-08,147.6700
2023-11-07,148.5400
2023-11-06,149.2900
2023-11-03,150.7100
2023-11-02,146.8800
2023-11-01,145.6600
2023-10-31,145.5300
2023-10-30,143.3500
2023-10-27,142.4900
2023-10-26,142.1900
2023-10-25,142.2000
2023-10-24,142.0900
2023-10-23,141.7800
2023-10-20,140.6700
2023-10-19,142.2600
2023-10-18,140.7200
2023-10-17,140.8100
2023-10-16,138.8100
2023-10-13,134.0000
2023-10-12,134.2500
2023-10-11,137.5200
2023-10-10,138.2100
2023-10-09,137.0800
2023-10-06,136.9400
2023-10-05,141.1100
2023-10-04,141.2000
2023-10-03,139.8300
2023-10-02,142.4100
2023-09-29,143.2200
2023-09-28,143.1000
2023-09-27,141.4300
2023-09-26,141.3600
2023-09-25,141.2700
2023-09-22,143.5000
2023-09-21,145.4900
2023-09-20,149.4600
2023-09-19,149.7100
2023-09-18,149.1000
2023-09-15,150.0600
2023-09-14,151.8200
2023-09-13,148.8100
2023-09-12,149.7400
2023-09-11,148.0900
2023-09-08,149.4400
2023-09-07,149.8600
2023-09-06,148.9500
2023-09-05,150.7000
2023-09-01,155.5600
2023-08-31,155.5100
2023-08-30,157.1400
2023-08-29,155.8200
2023-08-28,155.1600
2023-08-25,155.9900
2023-08-24,155.5800
2023-08-23,156.3000
2023-08-22,156.0100
2023-08-21,155.2900
2023-08-18,158.4700
2023-08-17,158.8900
2023-08-16,160.3200
2023-08-15,161.7300
2023-08-14,161.2600
2023-08-11,160.4900
2023-08-10,163.5700
2023-08-09,163.9300
2023-08-08,164.7900
2023-08-07,164.7900
2023-08-04,162.4500
2023-08-03,162.9300
2023-08-02,164.1300
2023-08-01,166.3800
2023-07-31,168.9200
2023-07-28,167.5200
2023-07-27,170.2600
2023-07-26,169.0200
2023-07-25,167.8200
2023-07-24,170.0800
2023-07-21,170.3700
2023-07-20,172.1800
2023-07-19,171.4500
2023-07-18,170.0900
2023-07-17,169.2500
2023-07-14,167.4400
2023-07-13,168.4600
2023-07-12,166.8600
2023-07-11,166.5600
2023-07-10,165.9500
2023-07-07,163.4500
2023-07-06,164.1100
2023-07-05,164.9500
2023-07-03,167.4500
2023-06-30,167.0800
2023-06-29,165.3000
2023-06-28,162.0500
2023-06-27,163.3900
2023-06-26,161.5900
2023-06-23,161.3000
2023-06-22,162.1300
2023-06-21,166.4100
2023-06-20,165.8200
2023-06-16,166.0100
2023-06-15,166.8600
2023-06-14,167.6400
2023-06-13,166.0400
2023-06-12,164.9800
2023-06-09,161.9100
2023-06-08,163.3600
2023-06-07,164.4000
2023-06-06,163.0700
2023-06-05,161.0400
2023-06-02,164.0400
2023-06-01,161.7300
2023-05-31,158.5200
2023-05-30,160.3800
2023-05-26,161.2800
2023-05-25,161.0300
2023-05-24,160.4600
2023-05-23,160.5700
2023-05-22,161.2300
2023-05-19,161.4100
2023-05-18,162.1400
2023-05-17,158.6900
2023-05-16,153.1600
2023-05-15,151.8900
2023-05-12,148.5500
2023-05-11,147.0100
2023-05-10,149.0600
2023-05-09,150.3300
2023-05-08,150.2400
2023-05-05,153.0900
2023-05-04,152.9200
2023-05-03,151.4700
2023-05-02,151.8300
2023-05-01,151.2600
2023-04-28,151.9300
2023-04-27,151.2000
2023-04-26,148.5200
2023-04-25,146.4600
2023-04-24,149.2700
2023-04-21,151.8500
2023-04-20,149.9300
2023-04-19,151.5500
2023-04-18,151.8100
2023-04-17,151.7500
2023-04-14,152.4200
2023-04-13,153.4700
2023-04-12,151.7400
2023-04-11,153.4800
2023-04-10,151.5000
2023-04-06,149.7000
2023-04-05,153.0600
2023-04-04,153.0900
2023-04-03,153.8900
2023-03-31,155.1600
2023-03-30,153.8800
2023-03-29,154.6700
2023-03-28,154.4700
2023-03-27,153.8000
2023-03-24,152.5800
2023-03-23,150.5200
2023-03-22,151.0500
2023-03-21,152.4300
2023-03-20,150.6300
2023-03-17,148.5000
2023-03-16,150.3600
2023-03-15,147.7600
2023-03-14,147.5800
2023-03-13,146.0200
2023-03-10,143.9700
2023-03-09,144.6600
2023-03-08,145.7300
2023-03-07,146.5300
2023-03-06,148.2700
2023-03-03,147.3400
2023-03-02,147.1400
2023-03-01,143.6500
2023-02-28,142.9900
2023-02-27,142.6700
2023-02-24,144.5300
2023-02-23,148.2800
2023-02-22,148.9100
2023-02-21,147.8400
2023-02-17,146.0900
2023-02-16,145.7600
2023-02-15,146.6600
2023-02-14,146.3100
2023-02-13,147.8400
2023-02-10,147.0200
2023-02-09,147.7600
2023-02-08,148.4500
2023-02-07,149.5900
2023-02-06,149.7900
2023-02-03,147.4200
2023-02-02,147.9200
2023-02-01,147.0600
2023-01-31,147.9700
2023-01-30,146.9200
2023-01-27,148.3700
2023-01-26,149.3000
2023-01-25,147.7800
2023-01-24,145.9800
2023-01-23,148.1000
2023-01-20,147.3800
2023-01-19,145.3900
2023-01-18,146.4800
2023-01-17,149.0100
2023-01-13,149.8000
2023-01-12,148.7000
2023-01-11,149.6500
2023-01-10,150.3100
2023-01-09,148.1000
2023-01-06,146.9800
2023-01-05,144.3000
2023-01-04,143.0300
2023-01-03,139.9600
2022-12-30,138.3300
2022-12-29,140.0800
2022-12-28,138.8200
2022-12-27,137.7400
2022-12-23,138.8400
2022-12-22,137.3100
2022-12-21,138.5500
2022-12-20,139.7200
2022-12-19,138.4500
2022-12-16,139.9000
2022-12-15,142.8600
2022-12-14,143.9500
2022-12-13,145.0300
2022-12-12,144.4900
2022-12-09,142.5700
2022-12-08,143.7700
2022-12-07,142.2100
2022-12-06,142.8600
2022-12-05,143.5400
2022-12-02,145.4800
